Project Code,InternalId,Customer Name,Billing Budget,Costing Budget
SB22161,8914,Hul - Lakme X Myntra,717800,717800
SB21911,8746,IKEA - Festive Lighting 2024,4000000,4000000
SB21528,8728,BFSI Techtalks Mumbai,4417437,4008442.82
SB21697,8729,Castrol India Stall - IMTEX (Tool Tech),1330560,1259600
SB21700,8730,Amazon SPS,401218.4,278646
SB21703,8731,BFSI VCF Workshops,3109238,1723662.63
SB21704,8732,Castrol India TUBE India Expo November,415514,377740
SB21733,8733,Amazon ring devices event,162635,111886
SB21770,8734,Mangalam Leasing Channel Partners Meet,2413600,1855318.54
SB21797,8735, Intel stall at Data Hack Summit 2024 at Nimhans,489783,209322
SB21800,8736,Towards Tanzu Activities,1933840,996519
SB21804,8737,Dell CSG event,11400000,9594290.8
SB21807,8738,Red Hat Summit Connect,24389088,20299475.04
SB21814,8739,Booth Participation @Gartner Symposium 2024,409750,96922.5
SB21829,8740,Adobe Day @ Corporates,2527500,757425
SB21847,8741,Siemens Ahmedabad Townhall event ,67831,19749
SB21859,8742,NVIDIA - AI Summit at  23rd to 25th Oct 2024,344008695.7,285906313.2
SB21861,8743,HPE Discover More AI,43169821,30543695.48
SB21873,8744," INGKA - Mapic Stall 2024 at Jio,",3297085,2158341.6
SB21888,8745,Hitachi Gartner Symposium 2024.,5035200,4409926
SB21911,8746,IKEA - Festive Lighting 2024,6002832,4416323
SB21914,8747,Amazon Ace Awards,263375,188035
SB21917,8748,Towards VSP One pipeline acceleration campaign,3174924.93,2754926
SB21920,8749,Sustainability Campaign,415000,6500
SB21930,8750,Cognizant - CIO 100 SYMPOSIUM & AWARDS,180070,105729
SB21935,8752,Siemens Mobility Tactical Table,2397035.4,1875000
SB21939,8753,Towards Booth set up at DevOpsDays Kerela 2024.,123389.25,112172.72
SB21940,8754,HPE Booth at NVIDIA AI Summit at JIO convention Centre Mumbai,5718840,4662115.37
SB21944,8755,Amazon SPS,1712265.28,1392963
SB21945,8756,Lenovo R&D Lab Innaugration,2246564.16,1574569.5
SB21947,8757,NetApp Targus Roundtable Conference ,566389,413119
SB21954,8758,"Github Reconnect Series, Sep to Nov 2024",1241937,706351.4
SB21960,8759,Futureworks India 2024,7890000,4926692.35
SB21961,8760,Towards Webinar Promotion Services,335680,112786
SB21975,8761,Siemens R2R Townhall ,480306,306000
SB21981,8762,"Adobe ALM booth set-up, hotel Taj ",850000,137474
